team_1,team_2,team_1_out,team_2_out,Team_1_win_%,Team_2_win_%,homeTeam,date,winner
Wizards,Celtics,"['Corey Kispert', ' Delon Wright']","['Mfiondu Kabengele', ' JD Davison', ' Danilo Gallinari', ' Robert Williams III']",0.5,0.6666666666666666,Celtics,2022-10-30,Celtics
Knicks,Cavaliers,"['Quentin Grimes', ' Feron Hunt', ' Trevor Keels']","['Ricky Rubio', ' Dylan Windler', ' Darius Garland', ' Isaiah Mobley']",0.5,0.8333333333333334,Cavaliers,2022-10-30,Cavaliers
Warriors,Pistons,"['Donte DiVincenzo', ' Andre Iguodala']","['Marvin Bagley III', ' Buddy Boeheim', ' Alec Burks']",0.42857142857142855,0.2857142857142857,Pistons,2022-10-30,Pistons
Timberwolves,Spurs,"['Josh Minott', ' Luka Garza', ' Jordan McLaughlin', ' Wendell Moore Jr.']","['Josh Richardson', ' Charles Bassey', ' Jeremy Sochan', ' Devin Vassell', ' Dominick Barlow']",0.5714285714285714,0.7142857142857143,Spurs,2022-10-30,Spurs
Magic,Mavericks,"['Markelle Fultz', ' Gary Harris', ' Jalen Suggs', ' Moritz Wagner', ' Jonathan Isaac', ' Cole Anthony']","['Davis Bertans', ' Frank Ntilikina']",0.14285714285714285,0.5,Mavericks,2022-10-30,Mavericks
Rockets,Suns,"['TyTy Washington Jr.', ' Darius Days', ' Bruno Fernando', ' Eric Gordon']","['Deandre Ayton', ' Jae Crowder', ' Ish Wainright']",0.14285714285714285,0.8333333333333334,Suns,2022-10-30,Suns
Nuggets,Lakers,"['Collin Gillespie', ' Jack White']","['Juan Toscano-Anderson', ' Thomas Bryant', ' Dennis Schroder', ' Cole Swider']",0.5714285714285714,0.16666666666666666,Lakers,2022-10-30,Lakers
Kings,Hornets,"['Neemias Queta', ' Chima Moneke', ' Keon Ellis']","['Terry Rozier', ' LaMelo Ball', ' Cody Martin']",0.3333333333333333,0.42857142857142855,Hornets,2022-10-31,Kings
76ers,Wizards,"['Julian Champagnie', ' Joel Embiid', ' Michael Foster Jr.']","['Corey Kispert', ' Delon Wright']",0.5,0.42857142857142855,Wizards,2022-10-31,76ers
Pacers,Nets,"['Kendall Brown', ' Daniel Theis', ' Trevelin Queen']","['Ben Simmons', ' Seth Curry', ' T.J. Warren', ' Alondes Williams', ' David Duke Jr.']",0.375,0.2857142857142857,Nets,2022-10-31,Nets
Hawks,Raptors,"['Jarrett Culver', ' Bogdan Bogdanovic']","['Otto Porter Jr.', ' Fred VanVleet']",0.5714285714285714,0.5714285714285714,Raptors,2022-10-31,Raptors
Pistons,Bucks,"['Jalen Duren', ' Marvin Bagley III', ' Alec Burks', ' Buddy Boeheim']","['Joe Ingles', ' AJ Green', ' Pat Connaughton', ' Khris Middleton']",0.25,1.0,Bucks,2022-10-31,Bucks
